#;ISO;EN_country;Sco15;Diff sco14;Diff;Abuses score;Underlying situation score;Situation;EN_zone;ES_country;FR_Country;FR_zone;ES_zone;;;;;;
106;BGR;Bulgaria;32,91;-1,49;"-6 (100 ; 31,42)";20,79;32,91;Noticeable problems;European Union & the Balkans;Bulgaria;Bulgarie;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
107;COG;Republic of the Congo;33;-3,56;"-25 (82 ; 29,44)";16,09;33;Noticeable problems;Africa;República del Congo;Congo;Afrique;África;;;;;;
108;ECU;Ecuador;33,65;-2,49;"-13 (95 ; 31,16)";39,51;32,19;Noticeable problems;Americas;Ecuador;Équateur;Amériques;Amériques;;;;;;
109;PRY;Paraguay;33,74;-1,93;"-4 (105 ; 31,81)";52,31;29,1;Noticeable problems;Americas;Paraguay;Paraguay;Amériques;Amériques;;;;;;
110;CAF;Central African;33,84;-0,71;"-1 (109 ; 33,13)";52,93;29,07;Noticeable problems;Africa;República Centroafricana;République centrafricaine;Afrique;África;;;;;;
111;NGA;Nigeria;34,09;0,15;"+1 (112 ; 34,24)";45,00;31,36;Noticeable problems;Africa;Nigeria;Nigeria;Afrique;África;;;;;;
112;MDV;Maldives;34,32;-1,21;"-4 (108 ; 33,11)";28,90;34,32;Noticeable problems;Asia-Pacific;Maldivas;Maldives;Asie-Pacifique;Asia y el Pacífico;;;;;;
113;ZMB;Zambia;34,35;-3,46;"-20 (93 ; 30,89)";17,92;34,35;Noticeable problems;Africa;Zambia;Zambie;Afrique;África;;;;;;
114;MNE;Montenegro;34,63;0,15;"0 (114 ; 34,78)";13,86;34,63;Noticeable problems;European Union & the Balkans;Montenegro;Monténégro;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
115;QAT;Qatar;35,35;-1,03;"-2 (113 ; 34,32)";10,99;35,35;Difficult situation;Middle East & North Africa;Catar;Qatar;Moyen-Orient & Afrique du Nord;Oriente Medio y África del Norte;;;;;;
116;TJK;Tajikistan;36,19;-1,33;"-1 (115 ; 34,86)";37,38;35,89;Difficult situation;Eastern Europe & Central Asia;Tayikistán;Tadjikistan;Europe de l'Est & Asie centrale;Europa del Este y Asia central;;;;;;
